name,code,group,price
"Caffé Americano","AM","Coffee","15000"
"Kopi Susu Nakoa R","KSN","Coffee","18000"
"Kopi Susu Gula Aren","KSA","Coffee","18000"
"Caramel Macchiato","CM","Coffee","21000"
"Asian Dolce Latte","LAD","Coffee","21000"
"Vanilla Latte","LV","Coffee","21000"
"Caramel Latte","LC","Coffee","21000"
"Hazelnut Latte","LH","Coffee","21000"
"Caffé Latte","L","Coffee","18000"
"Cappucino","CAP","Coffee","18000"
"Honey Americano","AMH","Coffee","21000"
"Mochaccino Vanilla","MV","Coffee","24000"
"Asian Dolce Frappe Ice L","FAD-L","Coffee","24000"
"Caramel Machiato Frappe Ice L","FCM-L","Coffee","24000"
"Coffee Frappe Ice L","FC-L","Coffee","21000"
"Matcha Latte","ML","Tea","21000"
"Shaken Boba Tea Ice L","BT","Tea","18000"
"Tea Macchiato Ice L","TM","Tea","20000"
"Tea Peppermint Hot L","TP-R","Tea","15000"
"Tea Camomile Hot L","TC-R","Tea","15000"
"Tea Earl Grey Hot L","TEG-R","Tea","15000"
"Tea English Breakfast Hot L","TEB-R","Tea","15000"
"Black Tea Latte Ice L","LT-L","Tea","21000"
"Black Tea Frappe Ice L","FT-L","Tea","21000"
"Klepon Brown Sugar Boba","KL","Seasonal","24000"
"Caffe` Vanilla Rum L","VR-L","Seasonal","27000"
"Cotton Candy Latte","CC","Seasonal","24000"
"Boba Brown Sugar L","BBS-L","Seasonal","27000"
"Coffee Boba Brown Sugar Brulee L","CBR-L","Seasonal","27000"
"Boba Brown Sugar Macchiato Brulee L","BR-L","Seasonal","27000"
"Es Doger with Coffee Jelly","ED","Seasonal","24000"
"Matchapresso R","MP-R","Seasonal","24000"
"Matchapresso L","MP-L","Seasonal","27000"
"Signature Dark Chocolate","SC","Chocolate","21000"
"Java Chip","JC","Chocolate","21000"
"Java Chip Ice L","JC-L","Chocolate","24000"
"Chocoberry","CS","Chocolate","24000"
"Chocoberry Ice L","CS-L","Chocolate","27000"
"Choco Banana","CB","Chocolate","24000"
"Choco Banana Ice L","CB-L","Chocolate","27000"
"Chocochip Tiramisu","CT","Chocolate","24000"
"Chocochip Tiramisu Ice L","CT-L","Chocolate","27000"
"Java Chip Frappe Ice L","FJC-L","Chocolate","24000"
"Chocolate Frappe Ice L","FSC-L","Chocolate","24000"
"Beef Fried Sandwich","F-1","Food","15000"
"Donut Cheese","F-2","Food","9000"
"Donut Choco","F-3","Food","9000"
"Donut Plain/Sugar/Cinnamon","F-4","Food","6000"
"Tiramisu Bomboloni","F-5","Food","9000"
"Chocolate Bomboloni","F-6","Food","9000"
"Strawberry Bomboloni","F-7","Food","9000"
"Blueberry Bomboloni","F-8","Food","9000"
"Lemon Bomboloni","F-9","Food","9000"
"Taro Bomboloni","F-10","Food","9000"
"Confetti Cake","F-11","Food","13000"
"Cinnamon Roll with Cream Cheese","F-12","Food","16000"
"Brown Sugar Boba Cheese","F-13","Food","19000"
"Milk Tea Boba Cheese","F-14","Food","19000"
"Matcha Boba Cheese","F-15","Food","19000"
"Taro Boba Cheese","F-16","Food","19000"
"Pandan Kaya Cake","F-17","Food","15000"
"Choco Chewy Almond","F-18","Food","13000"
"Choco Chewy Double Choco","F-19","Food","13000"
"Choco Chewy Cheese","F-20","Food","13000"
"Strawberry Shortcake","F-21","Food","13000"
"Original Brownies","F-22","Food","13000"
"Chococheese Brownies","F-23","Food","13000"
"Sugar Roll Croissant","F-24","Food","16000"
"Butter Croissant","F-25","Food","15000"
"Chocolate Croissant","F-26","Food","19000"
"Eclair","F-27","Food","13000"
"Boba Pudding Mango","F-28","Food","15000"
"Boba Pudding Caramel","F-29","Food","15000"
"Boba Pudding Cappuccino","F-30","Food","15000"
"Pizza Roll","F-31","Food","16000"
"Choco Pizookie Choco","F-32","Food","13000"
"Macaroni Bolognese","F-33","Food","19000"
"Nakoa Snack","F-34","Food","12000"
"Oat & Raisin Cookies","F-35","Food","13000"
"Sunny Side Bread","F-36","Food","19000"
"Hot Cheese Croquette","F-37","Food","15000"
"Cheese Croquette","F-38","Food","15000"
"Vanillaberry Roll","F-39","Food","14000"
"Coffee Cake","F-40","Food","14000"
"Browcano Cheese Cream","F-41","Food","14000"
"Browcano Matcha","F-42","Food","14000"
"Browcano Tiramisu","F-43","Food","14000"
"Browcano Peanut","F-44","Food","14000"
"Browcano Taro","F-45","Food","14000"
"Browcano Lemon","F-46","Food","14000"
"Corn Mayo Risol","F-47","Food","15000"
"Homemade Snowy Donut","F-48","Food","6000"
"Chocoroll","F-49","Food","14000"
"Japan Curry Donut","F-50","Food","15000"
"Coffee Boba Cheese","F-51","Food","19000"
"Pandan Cheese Roll","F-52","Food","14000"
"Dutch crown","F-53","Food","16000"
"Brocoa","F-54","Food","13000"
"Chicken Nori Donut","F-55","Food","16000"
"Tiramisu Roll","F-56","Food","18000"
"Choco Chrunchy Roll","F-57","Food","18000"
"Cotton Cheesecake","F-58","Food","11000"
"Cinnamon Roll with Cream Cheese Tiramissu","F-59","Food","18000"
"Cinnamon Roll with Cream Cheese Choco Crunchy","F-60","Food","18000"
"Banana Chocociz Fried","F-61","Food","13000"
"Klepon Cake","F-62","Food","15000"
"Choco Pizookie Peanut","F-63","Food","13000"
"Choco Pizookie Oat & Raisin","F-64","Food","13000"
"Fancy Heart Eclair","F-65","Food","15000"
"Cupid Cotton Cake","F-66","Food","13000"
"xoxo brownies","F-67","Food","15000"
"Regal Oreo Chococheese","F-68","Food","19000"
"Boba Pudding Sweetheart","F-69","Food","15000"
"Be Mine Cupcakes","F-70","Food","16000"
"Nakoa Sandwich","F-71","Food","17000"
"Sandwich Beef","F-72","Food","15000"
"Boba Pudding Milk Tea","F-73","Food","15000"
"Boba Pudding Bubblegum","F-74","Food","15000"
"Browcano","F-75","Food","14000"
"Oreo Choco Brownies","F-76","Food","13000"
"Pizza Puff","F-77","Food","17000"
"Cupcakes Vanilla","F-78","Food","13000"
"Cupcakes Choco","F-79","Food","13000"
"Boba Cake Choco Milo","F-80","Food","19000"
"Banana Cake","F-81","Food","19000"
"Korean Donut","F-82","Food","8000"
"Espresso","XES","Extra","4000"
"Boba: Original","XBB","Extra","4000"
"Boba: Brown Sugar","XBS","Extra","4000"
"Coffee Jelly","XCJ","Extra","5000"
"Ice Cream Scoop","XIC","Extra","4000"
"Eclair Matcha","F-83","Food","13000"
"Eclair Tiramisu","F-84","Food","13000"
"Eclair Chocolate","F-85","Food","13000"
"Boba Pudding Greentea","F-86","Food","15000"
"Boba Pudding Coklat","F-87","Food","15000"
"Boba Pudding Cotton Candy","F-88","Food","15000"
"Boba Pudding Strawberry","F-89","Food","15000"
"Tiramisu Donut","F-90","Food","9000"
"Kopi Susu Nakoa With Coffee Jelly","KSNJ","Coffee","24000"
"Strawberry Donut","F-91","Food","9000"
"Banana Milk Donut","F-92","Food","9000"
"Korean Garlic Cheese Bread","F-93","Food","18000"
"Banana Chips","F-94","Food","15000"
